name,price,shipping,free_returns,items_sold,status
New ListingHP ZBook Studio G3 i7-6700HQ 16GB RAM 512GB Win 10 Pro B Condition,19900,0,False,,Pre-Owned · HP
"Lenovo IdeaPad 3 15ITL6 15.6"" 8GB 1TB Core i3-1115G4 Windows 11 Gray Laptop",28999,0,True,0,Certified - Refurbished · Lenovo · 1 TB
"2021 Alienware x15 R1 i7-11800H 16GB 512GB 15.6"" FHD 360Hz RTX 3070 Lunar Light",129900,0,True,0,Certified - Refurbished · Alienware · 16 GB
"Microsoft Surface Laptop 2 13.5""(512GB  i7- i7-8650U 16GB RAM Wins 11 Pro) Black",29495,1650,False,,Pre-Owned · Microsoft · 512 GB
Dell Precision 7520 i7-6820HQ 512GB 32GB 4GB GPU QUADRO M2200 15.6 Gaming Laptop,39999,0,True,0,Excellent - Refurbished · Dell · 32 GB
"Acer Aspire 3 - 17.3"" Laptop Intel Core i3-1115G4 3.00Hz 8GB RAM 256GB SSD W11H",26999,0,True,0,Certified - Refurbished · Acer · 256 GB
Microsoft Surface Go Intel i5 1035G1 8GB 256GB SSD 12.4 Touchscreen Renewed,39900,0,True,0,Certified - Refurbished · Microsoft · 256 GB
"Microsoft Surface Laptop 3 13.5"" TOUCHSCREEN Core i5 16GB RAM 256GB SSD W10",43900,0,True,0,Certified - Refurbished · Microsoft · 16 GB
HP ProBook X360-11-G1-EE  CELERON N3350@1.10GHz 4GB 256SSD WEBCAM TOUCHSCREEN,6499,495,True,71,Pre-Owned · HP · 256 GB
"Lenovo Gaming Laptop Legion 5 17.3"" FHD AMD Ryzen 7 5800H 16GB 1TB SSD RTX 3060",94769,0,True,0,Excellent - Refurbished · Lenovo · 1 TB
"Microsoft Surface Laptop 3 13.5"" Touchscreen Intel i5-1035G7 8GB RAM 128GB SSD ",34900,0,True,0,Certified - Refurbished · Microsoft · 128 GB
Microsoft Surface Laptop 3 Touch Intel i5 8GB 128GB SSD Certified Refurbished,38900,0,True,0,Certified - Refurbished · Microsoft · 128 GB
